atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
1926655143,1168011500,A02,A1,20/20,60000,167,83,남향,37.488077,127.101892,"SRT,수서역과 건물지하 연결, 주차편리, 편의시설이 좋은 사무실입니다.","['25년이내', '역세권', '대형평수']",남서울공인중개사
1926653113,1168011500,A02,A1,5/20,90000,257,129,남서향,37.488077,127.101892,"SRT,수서역이 건물 지하로 연결, 룸1, 주차가 좋습니다.","['25년이내', '역세권', '대형평수']",남서울공인중개사
1926628874,1168011300,A02,A1,10/10,88000,157,74,남향,37.473765,127.107157,실입주가능 탑층 전망좋은 풀옵션 오피스텔입니다,"['4년이내', '화장실두개', '대형평수', '탑층']",유탑공인중개사사무소
1927411667,1168010100,A02,A1,고/20,80000,149,78,,37.508679,127.039412,역삼동 더블역세권 고급 오피스텔 매매,"['15년이내', '역세권', '화장실한개', '대형평수']",삼성MK공인
1927374953,1168010600,D02,A1,6/9,60000,138,70,,37.500187,127.051563,한티역세권 대로변 코너건물 귀한 상가매매,"['10년이내', '역세권', '주차가능']",명보공인중개사사무소
1927310639,1168010400,D01,A1,2/14,100000,314,165,,37.526434,127.049678,최고의 광고효과 가지는 전면 노출 편리한 주차의 청담최저가 구분건물매매,[],원공인중개사사무소
1926545128,1168011800,A02,A1,22/30,55000,135,67,남향,37.486471,127.052022,41P,"['25년이내', '역세권', '대형평수', '방두개']",조은공인중개사사무소
1926534094,1168010700,C02,A1,4/7,82000,134,84,,37.521524,127.029262,신사동 초 역세권 저렴하게 나온 쓰리룸 매매 실입주가능,"['화장실두개', '대형평수', '방세개']",히든공인중개사사무소
1926363057,1168011500,A02,A1,17/20,47000,158,79,,37.487312,127.103122,귀한 로얄층 대표실 회의실 시원하게 트인  전망 ,"['25년이내', '역세권', '화장실한개']",부동산모닝공인중개사
1927136237,1168011500,D02,A1,-2/20,44000,184,78,,37.487327,127.103144,"면적대비급매, 지하철연결빌딩,유동인구 상당수","['25년이내', '역세권', '급매', '주차가능']",부동산랜드공인중개사사무소
1927019052,1168011800,A02,A1,고/10,45000,133,62,서향,37.487313,127.051446,,"['25년이내', '역세권', '대형평수', '방두개']",타워미래공인중개사사무소 
1926366927,1168011500,D01,A1,17/20,47000,158,79,,37.487327,127.103144,귀한 로얄층 대표실 회의실 시원하게 트인전망,"['역세권', '주차가능', '엘리베이터', '인터폰']",부동산모닝공인중개사
1927002166,1168010600,D01,A1,5/9,65000,138,70,,37.500187,127.051563,대치동 학원가 임대수익용 매매,['역세권'],뱅크공인중개사사무소
1926294371,1168010800,C02,A1,4/7,95000,169,120,남향,37.516461,127.031335,갭투자 가능하며 임대수요도 좋아요.,"['올수리', '역세권', '대형평수', '화장실두개']",더(THE)큰공인중개사사무소
1926294291,1168010800,C02,A1,4/6,91000,171,112,남향,37.512475,127.032286,갭투자 위치좋고 평수넓은 올리모델링 된 아파트형 쓰리룸,"['역세권', '대형평수', '화장실두개']",더(THE)큰공인중개사사무소
1926271630,1168010100,D01,A1,2/10,79500,191,99,,37.503261,127.040108,상가가능 고수익률 손님주차가능,"['10년이내', '역세권', '엘리베이터', '인터폰']",빅스공인중개사사무소
1926190465,1168011500,A02,A1,20/20,60000,167,83,남향,37.488077,127.101892,"트인전망굿, 대표실구비, 지하철연결건물","['25년이내', '역세권', '화장실한개']",부동산랜드공인중개사사무소
1926777735,1168010100,A02,A1,저/20,98000,213,111,남향,37.508679,127.039412,올수리 되었습니다,"['15년이내', '올수리', '역세권', '대형평수']",동부부동산공인중개사사무소
1926203130,1168011300,A02,A1,8/10,88000,157,74,남향,37.473765,127.107157,강남훼미리타운에서 가장 아름답고 뷰가 좋은집 부자되는 집,"['4년이내', '대형평수', '방세개', '화장실두개']",위례훼미리공인중개사
1926189551,1168010100,C03,A1,2/0,35000,272,496,,37.495465,127.043112, 쾌적하고 깨끗 깔끔한 신축급 투룸 ,"['방두개', '화장실한개', '주차가능']",럭키공인중개사사무소
1926186509,1168010100,C03,A1,5/0,32000,272,496,,37.495465,127.043112,조용 쾌적하고 신축급 깨끗한 투룸,"['방두개', '화장실한개', '주차가능']",럭키공인중개사사무소
1926175581,1168010100,D01,A1,16/23,77000,136,63,,37.502977,127.046553,테헤란로 대로변 전망좋은 귀한 사무실매매물건,"['15년이내', '역세권', '엘리베이터']",뱅크공인중개사사무소
1926166382,1168010100,D05,A1,4/-1,95000,275,758,,37.499431,127.043905,르네상스호텔사거리 인근 상가건물내 4층 주택만 매도,"['25년이상', '테라스', '방네개이상', '화장실한개']",(주)유일부동산중개법인
